Feature,Importance,Original_Feature
trf2__location_Location 124,0.0005019221,location
trf2__location_Location 57,0.00049701857,location
remainder__opened_hour,0.00049682066,opened
trf2__location_Location 43,0.00049358694,location
trf2__u_symptom_Symptom 297,0.0004926383,u
trf2__location_Location 33,0.0004887688,location
trf2__u_symptom_Symptom 197,0.0004878382,u
trf2__location_Location 135,0.0004863126,location
trf2__location_Location 144,0.00048542707,location
trf2__location_Location 161,0.000485174,location
trf2__location_Location 107,0.00047855818,location
trf2__u_symptom_Symptom 312,0.0004780456,u
trf2__u_symptom_Symptom 411,0.00047055693,u
trf2__u_symptom_Symptom 434,0.00047034252,u
trf2__u_symptom_Symptom 143,0.00046988862,u
trf2__location_Location 173,0.00046847123,location
trf2__location_Location 39,0.0004663861,location
trf2__location_Location 172,0.0004657747,location
trf2__location_Location 37,0.00046173844,location
trf2__location_Location 146,0.00045645147,location
trf2__location_Location 14,0.00045368052,location
trf2__u_symptom_Symptom 487,0.0004528973,u
trf2__location_Location 248,0.00044853697,location
trf2__u_symptom_Symptom 405,0.0004480188,u
trf2__u_symptom_Symptom 450,0.00044503325,u
trf2__u_symptom_Symptom 190,0.00044047605,u
trf2__location_Location 197,0.00043821966,location
trf2__u_symptom_Symptom 440,0.0004333866,u
trf2__u_symptom_Symptom 170,0.00042666664,u
trf2__location_Location 35,0.00042612667,location
trf2__location_Location 55,0.0004258514,location
trf2__location_Location 171,0.00041855386,location
trf2__u_symptom_Symptom 59,0.00040830404,u
trf2__location_Location 204,0.00040340165,location
trf2__location_Location 86,0.00040206593,location
trf2__opened_day_of_week_2,0.0004015852,opened
trf2__location_Location 138,0.00040039045,location
trf2__location_Location 209,0.00039887862,location
trf2__u_symptom_Symptom 572,0.00039047553,u
trf2__location_Location 179,0.0003851874,location
trf2__location_Location 9,0.00038451926,location
trf2__location_Location 114,0.0003789577,location
trf2__location_Location 162,0.00037640013,location
trf2__u_symptom_Symptom 30,0.00037320142,u
trf2__u_symptom_Symptom 383,0.0003705164,u
trf2__location_Location 131,0.0003693203,location
trf2__opened_day_of_week_6,0.00036445417,opened
trf2__u_symptom_Symptom 135,0.00036279552,u
trf2__location_Location 234,0.00035920372,location
trf2__u_symptom_Symptom 270,0.00035771923,u
trf2__u_symptom_Symptom 136,0.000355495,u
trf2__u_symptom_Symptom 251,0.0003509406,u
trf2__opened_day_of_week_0,0.00035082988,opened
trf2__opened_day_of_week_4,0.00035081548,opened
trf2__location_Location 22,0.00034489125,location
trf2__opened_day_of_week_5,0.000341596,opened
trf2__location_Location 226,0.0003373814,location
trf2__location_Location 113,0.0003339861,location
trf2__opened_day_of_week_3,0.00033286656,opened
trf2__u_symptom_Symptom 337,0.00033257,u
trf2__u_symptom_Symptom 269,0.00033120392,u
trf2__u_symptom_Symptom 13,0.0003302137,u
trf2__location_Location 92,0.0003299676,location
trf2__location_Location 8,0.0003266562,location
trf2__u_symptom_Symptom 392,0.0003258254,u
trf2__location_Location 185,0.00031648463,location
trf2__contact_type_IVR,0.00031405594,contact
trf2__location_Location 216,0.0003084056,location
trf2__location_Location 78,0.00030039324,location
trf2__u_symptom_Symptom 60,0.00029507795,u
trf2__u_symptom_Symptom 502,0.0002902555,u
trf2__u_symptom_Symptom 580,0.00028645073,u
trf2__u_symptom_Symptom 96,0.0002850284,u
trf2__u_symptom_Symptom 516,0.00028217188,u
trf2__u_symptom_Symptom 326,0.00028184144,u
trf2__u_symptom_Symptom 223,0.00027480625,u
trf2__opened_day_of_week_1,0.00027470535,opened
trf2__u_symptom_Symptom 483,0.0002722186,u
trf2__u_symptom_Symptom 162,0.00026622505,u
trf2__u_symptom_Symptom 17,0.00025866684,u
trf2__u_symptom_Symptom 565,0.0002548518,u
trf2__u_symptom_Symptom 174,0.00024620764,u
trf2__u_symptom_Symptom 83,0.00024344356,u
trf2__u_symptom_Symptom 556,0.00023899041,u
trf2__u_symptom_Symptom 199,0.00023879248,u
trf2__location_Location 141,0.00023739613,location
trf2__location_Location 133,0.00022792412,location
trf2__u_symptom_Symptom 253,0.00022724226,u
trf2__u_symptom_Symptom 560,0.00022141695,u
trf2__location_Location 11,0.00020813539,location
trf2__location_Location 168,0.00020046877,location
trf2__u_symptom_Symptom 72,0.00019862971,u
trf2__u_symptom_Symptom 485,0.00019100044,u
trf2__u_symptom_Symptom 447,0.00018900544,u
trf2__u_symptom_Symptom 107,0.0001790752,u
